"","council_id","leave_share","BNP_vote_share","Conservative_vote_share","Green_vote_share","LD_vote_share","Labour_vote_share","UKIP_vote_share","agriculture","eu_eco_dependence","fiscal_cuts","eu_15_imm_growth","immigrant_share","median_wage_growth","unemployment"
"48",56,62.8727192487008,1.41252613067627,28.3161067962646,4.19755077362061,3.97764253616333,20.8368091583252,36.0047073364258,1.2,12.5,-153.806640625,0.0643326789140701,3.87323943661972,-3.23992514610291,5.1
"49",57,50.4215645814751,1.37183856964111,16.9823875427246,5.50678586959839,8.57258796691895,40.4772262573242,22.4809684753418,0.5,9.5,51.4186134338379,0.630752444267273,21.7272727272727,-7.08876848220825,9.7
"50",58,56.1574415744157,1.39732348918915,31.0530700683594,6.89247751235962,8.97646522521973,13.3474855422974,32.4688529968262,0.4,9.5,-151.35481262207,0.0170411542057991,9.56937799043062,-1.52133500576019,4.1
"51",59,55.5956985313333,1.82241237163544,17.7847785949707,6.14504146575928,3.43526887893677,37.949821472168,26.4748401641846,0.55,9.5,-16.4260177612305,0.226027756929398,26.9005847953216,-6.23195266723633,6.1
"52",60,67.5961329939621,1.80358064174652,22.1558685302734,4.35845279693604,2.19247031211853,25.9014911651611,38.3965225219727,0.275,9.5,-82.8805236816406,0.083236388862133,6.03174603174603,-3.50436520576477,7.2
"53",61,66.7214472951499,2.14169931411743,11.6983098983765,3.23280835151672,1.90582311153412,44.8468971252441,30.0648307800293,0.275,9.5,53.8304176330566,0.242485076189041,16.403785488959,-7.07510185241699,10.6
"54",62,67.8622795565685,2.25412631034851,21.4942150115967,2.83328008651733,2.84699678421021,31.0487232208252,33.5863304138184,0.25,9.5,0.420826375484467,0.121893964707851,11.6788321167883,2.31275057792664,9.2
"55",63,62.5746167412834,1.99055445194244,17.4916915893555,3.49484014511108,2.74444627761841,37.8485221862793,31.3013820648193,0.25,9.5,35.6891326904297,0.0346602872014046,18.6507936507937,-4.75240039825439,11.1
"56",64,60.8934456243134,0.930019855499268,25.5788116455078,5.65635013580322,4.5499095916748,25.1040019989014,33.4959602355957,0.75,9.5,9.22652912139893,0.910541415214539,20.4188481675393,-4.32886123657227,6.6
"57",65,47.9013272587145,0.520346283912659,28.6769905090332,11.0988092422485,12.3741445541382,15.2627258300781,28.8674583435059,1.59,9.5,-224.639129638672,0.842474043369293,13.166144200627,-2.56100535392761,3.1
"58",66,57.2136409659838,0.690598845481873,29.1003379821777,9.74968910217285,5.19907379150391,16.8906688690186,34.704948425293,1.63,9.5,-179.614990234375,0.3512062728405,10.562414266118,-1.94677710533142,4.1
"59",67,55.1673007913258,0.705036401748657,21.7940368652344,13.9705362319946,5.454017162323,22.1275272369385,32.8002166748047,2.41,9.5,-72.5334548950195,0.516512393951416,11.0803324099723,-7.85700607299805,3.8
"60",68,63.1886881171492,0.703205466270447,27.7216129302979,7.98033761978149,7.91489124298096,12.6911191940308,39.8473815917969,2.41,9.5,-116.549247741699,0.305056750774384,6.8,-1.77081894874573,7
"61",69,57.6819617168921,0.648697018623352,30.7949333190918,9.98210430145264,5.41745853424072,13.1249294281006,36.7562370300293,2.41,9.5,-177.273361206055,0.66213470697403,10.3448275862069,-7.4391827583313,5.8
"62",71,50.3146687123871,0.72123771905899,31.7823886871338,7.85503530502319,8.67832946777344,18.2852668762207,29.0249252319336,0.455555555555556,8.9,-195.048568725586,0.321090310811996,13.3217993079585,-9.4407434463501,4.4
"63",72,51.7846768758859,0.766538500785828,28.2165050506592,6.99004220962524,8.04988670349121,23.6690330505371,28.2707271575928,0.933333333333333,8.9,-123.0458984375,0.109525330364704,18.9024390243902,0.372528165578842,4.5
"64",73,56.1283091106017,0.760792911052704,31.4626121520996,7.53139925003052,5.30304145812988,14.4400596618652,36.777660369873,0.933333333333333,8.9,-215.567825317383,0.279036730527878,8.45588235294118,-4.45218849182129,3.7
"65",74,58.0824544582934,1.06197571754456,26.7771244049072,7.87070369720459,6.14644575119019,15.5950088500977,37.1040802001953,0.4,10.1,8.98355579376221,0.326974809169769,12.3595505617978,-4.96339130401611,5.1
